麺	noodles<br><br>めん
首	(n) (1) neck/(2) head/(3) unemployed person/(P)<br><br>くび
部首	(n) radical (of a kanji character)/(P)<br><br>ぶしゅ
曇る	to become cloudy; to become dim<br><br>くもる
蔵	(n) warehouse/cellar/magazine/granary/godown/depository/treasury/elevator/(P)<br><br>くら
比較	(n,vs) comparison/(P)<br><br>ひかく
遺訓	(n) dying instructions<br><br>いくん
群衆	(n,vs) group (of people)/crowd/horde/throng/mob/multitude<br><br>ぐんしゅう
群れる	to crowd/to flock/to swarm<br><br>むれる
警衛	guard; patrol; escort<br><br>けいえい
隠し芸	(n) hidden talent<br><br>かくしげい
歓迎	(n,vs) welcome/reception/(P)<br><br>かんげい
迎え撃つ	(v5t,vt) to ambush/to attack/to assault/to meet the enemy/(P)<br><br>むかえうつ
迎撃	interception; counter attack<br><br>げいげき
演劇	piesa de teatru<br><br>えんげき
鼻血	(n) nosebleed/(P)<br><br>はなぢ
結婚	marriage<br><br>けっこん
険しい	(adj-i) inaccessible place/impregnable position/steep place/sharp eyes/(P)<br><br>けわしい
健康保険	(n) health insurance/(P)<br><br>けんこうほけん
冒険	(n,vs) risk/venture/adventure/(P)<br><br>ぼうけん
軒	(n) (1) eaves/(2) narrow aisle surrounding the core of a temple building/(P)<br><br>のき
花粉	(n) pollen/(P)<br><br>かふん
小麦粉	(n) wheat flour/(P)<br><br>こむぎこ
網戸	(n) screen door/(P)<br><br>あみど
湖	lake (harder kanji)<br><br>みずうみ
琵琶湖	(n) Lake Biwa<br><br>びわこ
呼吸	breath; respiration; knack; trick; secret (of doing something)<br><br>こきゅう
雇う	to employ; to hire<br><br>やとう
交互	(n,adj-no) mutual/reciprocal/alternate/(P)<br><br>こうご
互いに	mutually/with each other/reciprocally/together<br>一字<br><br>たがいに
初恋	(n) first love/puppy love/(P)<br><br>はつこい
濃い	deep (colour); dark; strong (flavour, smell, etc.); thick (consistency); dense; strong (possibility, etc.); thick (i.e. "as thick as thieves"); close; deep (love, etc.)<br><br>こい
濃淡	light and shade; shade (of color)<br><br>のうたん
栄光	glory<br><br>えいこう
幸福	happiness; blessedness こうふく<br><br>こうふく
幸い	happiness/blessedness い形容詞<br><br>さいわい
幸せ	(adj-na,n) happiness/good fortune/luck/blessing/(P)<br><br>しあわせ
港	(n) harbour/harbor/port/(P)<br><br>みなと
好む	(v5m,vt) to like/to prefer/(P)<br><br>このむ
居候	(n,vs) lodger who pays nothing for room and board/freeloader/sponger/(P)<br><br>いそうろう
耕す	(v5s,vt) to till/to plow/to plough/to cultivate/(P)<br><br>たがやす
降雨	(n) rainfall/rain/(P)<br><br>こうう
毒	(n) poison/toxicant/(P)<br><br>どく
炭鉱	(n) coal mine/coal pit/(P)<br><br>たんこう
講演	lecture; address; speech<br><br>こうえん
更ける	(v1,vi) to get late/to advance/to wear on/(P)<br><br>ふける
更改	renewal/renovation/reform<br />こうかい<br><br>
首肯	assent<br><br>しゅこう
近郊	(n) suburbs/outskirts/(P)<br><br>きんこう
被る	(v5r,vt) to suffer/to receive/to sustain<br><br>こうむる
氷点	freezing point<br>二字<br><br>ひょうてん
冷凍	freezing/cold storage/refrigeration<br><br>れいとう
凍る	to freeze; to congeal<br><br>こおる
谷底	(n) bottom of valley or ravine<br><br>たにぞこ
告げる	to inform<br><br>つげる
腰	(n) (1) back/lower back/waist/hips/lumbar region/(2) body (of hair, noodle, paper, etc.)/resilience/spring/(P)<br><br>こし
断る	(v5r,vt) (1) to refuse/to reject/to dismiss/to turn down/to decline/(2) to inform/to give notice/(3) to ask leave/to excuse oneself (from)/(P)<br><br>ことわる
細い	thin; slender (like a "thread")<br><br>ほそい
細菌	(n) bacillus/bacterium/germ/(P)<br><br>さいきん
税込み	(n) tax included (e.g. price)/before tax (e.g. salary)/(P)<br><br>ぜいこみ
語根	*root* of a word<br><br>ごこん
屋根	roof<br><br>やね
混乱	(n,vs) disorder/chaos/confusion/mayhem/(P)<br><br>こんらん
混ぜる	(v1,vt) to mix/to stir/to blend/(P)<br><br>まぜる
砂	(n) sand/grit/(P)<br><br>すな
砂糖	(n) sugar/(P)<br><br>さとう
砂漠	desert<br><br>さばく
星座	(n) constellation/(P)<br><br>せいざ
才媛	(n) literary woman/talented woman<br><br>さいえん
祭る	to deify/to enshrine<br><br>まつる
野菜	(n) vegetable/(P)<br><br>やさい
愛妻	(n) beloved wife<br><br>あいさい
稲妻、稲光	(flash of) lightning<br><br>いなづま、いなびかり
採る	to adopt (measure, proposal); to pick (fruit); to catch (insects); to take (e.g. a sample); to assume (attitude); to take on (i.e. hire); to engage<br><br>とる
採取	picking/collecting/harvesting<br />さいしゅ<br><br>
財布	(n) purse/handbag/wallet/(P)<br><br>さいふ
罪人	(n) sinner<br><br>つみびと、ざいにん
坂道	hill road<br><br>さかみち
酒	(n) alcohol/sake/(P)<br><br>さけ
探す　捜す	to search; to look for<br><br>さがす
杯	(n) sake cup/cup for alcoholic beverages/(P)<br><br>さかずき
一杯	cup of .../drink/full/to the utmost/a lot<br><br>いっぱい
咲く	to bloom<br><br>さく
誇る	to boast of/to be proud of<br><br>ほこる
一冊	(n) one copy (e.g. book)<br><br>いっさつ
支局	branch office (*not* store)<br><br>しきょく
刺激的	(adj-na) stimulating<br><br>しげきてき
刺さる	to stick/to be stuck<br><br>ささる
定規	(measuring) ruler<br><br>じょうぎ
定める	to establish/to determine<br><br>さだめる
札	note; paper money (suffix) さつ<br />token; label; ticket; card; charm; talisman ふだ<br><br>
刷る	(v5r,vt) (1) to print/(2) to color or pattern fabric using a wooden mold/(P)<br><br>する
込む	(v5m,vi) (1) to be crowded/to be packed/(2) to be complex/(aux-v) (3) to go into/to put into/to remain (seated)/to be plunged into (silence)/to do thoroughly/(4) to do intently/(5) to continue in the same state/(P)<br><br>こむ
刷毛	paint brush<br />はけ<br><br>はけ
雑誌	journal; magazine; periodical<br><br>ざっし
複雑	complex; complicated<br><br>ふくざつ
冷たい	cold (to the touch); racoros; rece (apa)<br><br>つめたい
冷やす	to cool/to refrigerate<br />ひやす<br><br>
皿	plate; dish; platter; disc<br><br>さら
算盤	abacus<br><br>そろばん
参る	(HUMBLE) to go; to come; to call; to be defeated; to collapse; to die; to be annoyed; to be nonplussed; to be madly in love; to visit (shrine, grave)<br><br>まいる
散る	to fall (e.g. blossoms, leaves); to scatter; to be dispersed; to disappear; to dissolve; to break up; to spread; to run; to blur; to die a noble death<br><br>ちる
講師	lecturer<br><br>こうし
牧師	(n) pastor/minister/clergyman/reverend/(P)<br><br>ぼくし
形容詞	adjective/i-adjective<br><br>けいようし
台詞	(n) speech/words/one's lines/remarks<br><br>せりふ
家路	(n) the road home<br><br>いえじ
寺	(n) temple (Buddhist)/(P)<br><br>てら
孤児	orphan<br><br>みなしご、こじ
児童	juvenile<br />二字<br><br>じどう
掃除	cleaning/sweeping<br><br>そうじ
駆除	extermination/expulsion<br><br>くじょ
削除	(n,vs) elimination/cancellation/deletion/erasure/DEL (key)/(P)<br><br>さくじょ
冷静	calm/composure/coolness/serenity<br><br>れいせい
静か	quiet; peaceful<br><br>しずか
水滴	(n) drop of water/(P)<br><br>すいてき
滴る	to drip/to drop/to trickle<br><br>したたる
沈む	to sink; to feel depressed<br><br>しずむ
沈思黙考	(exp) being lost in deep thought<br><br>ちんしもっこう
湿す	to wet/to moisten/to dampen<br><br>しめす
加湿器	(n) humidifier<br><br>かしつき
実る	(v5r,vi) to bear fruit/to ripen/(P)<br><br>みのる
半島	peninsula<br><br>はんとう
島流し	exile/banishment (from an "island")<br><br>しまながし
幽閉	confinement/imprisonment/incarceration/house arrest/depressed feeling<br><br>ゆうへい
閉める	to close/to shut<br><br>しめる
閉じる	to close (e.g. book, eyes, meeting, etc.); to shut<br><br>とじる
捨てる	to throw away/to cast aside/to abandon/to resign/to break up with (someone)<br><br>すてる
昔話	(n) folklore/legend/(P)<br><br>むかしばなし
弱震	(n) mild earthquake<br><br>じゃくしん
弱虫	(n) coward/weakling/(P)<br><br>よわむし
守る	to protect; to guard; to defend; to keep (i.e. a promise); to abide (by the rules); to observe; to obey; to follow<br><br>まもる
留守	(n,vs) (1) absence/being away from home/(2) house-sitting/house-sitter/(3) being left unattended to (of one's studies, etc.)/neglecting/(P)<br><br>るす
種	seed; pip; kind; variety; quality; tone; material; matter; subject; theme; (news) copy; cause; source; trick; secret; inside story<br><br>たね
欧州	(n) Europe/(P)<br><br>おうしゅう
拾う	to pick up/to find/to gather<br><br>ひろう
収拾	control/settling/coping<br><br>しゅうしゅう
周波数	frequency (of waves)<br><br>しゅうはすう
船	ship/boat<br><br>ふね
優柔不断	indecisiveness<br><br>ゆうじゅうふだん
柔道	(n) judo/(P)<br><br>じゅうどう
宿命	fate/destiny/predestination<br><br>しゅくめい
宿る	to lodge/to dwell/to be pregnant<br><br>やどる
従順	obedient/gentle/meek/submissive/docile<br><br>じゅうじゅん
税務署	tax office<br><br>ぜいむしょ
助ける	to help; to give relief to; to spare (life); to reinforce; to promote; to abet<br><br>たすける
助言	advice/suggestion<br><br>じょげん
焼く	to bake; to grill; to develop (photos); to suntan; to burn (in flames, down, CD, DVD, etc.); to scorch; to be jealous; to be envious<br><br>やく
照明	illumination<br><br>しょうめい
照る	to shine<br><br>てる
賞	(n,n-suf) prize/award/(P)<br><br>しょう
招く、誘う	to invite<br><br>まねく、さそう
猫	cat<br><br>ねこ
将棋	Japanese chess<br><br>しょうぎ
舗装	pavement/road surface<br><br>ほそう
装う	to serve/to dish up<br><br>よそう
召す	to call; to send for; to put on; to wear; to take (a bath); to ride in; to buy; to eat; to drink; to catch (a cold)<br><br>めす
寝床	bed (sleeping floor)<br>二字<br><br>ねどこ
旧姓	one's former (maiden) name<br><br>きゅうせい
昇る	to ascend; to go up<br><br>のぼる
政	rule/government<br>一字<br><br>まつりごと
無精	laziness<br><br>ぶしょう
妖精	fairy/sprite<br><br>ようせい
情けない	miserable/pitiable/shameful/deplorable<br>漢字一字<br><br>なさけない
城	castle<br />一字<br><br>しろ
万里の長城	Great Wall of China<br><br>ばんりのちょうじょう
蒸す	to steam/to be sultry (hot and humid)<br><br>むす
蒸発	evaporation<br><br>じょうはつ
一畳	one mat<br><br>いちじょう
畳替え	renewing mats/refacing mats<br><br>たたみがえ
職場	one's post; place of work; workplace<br><br>しょくば
退く	to recede; to subside; to retire<br><br>ひく
嬰	sharp (music)<br><br>えい
退却	withdrawal/retirement<br><br>たいきゃく
森林	(n) forest/woods/(P)<br><br>しんりん
奥深い	profound/deep<br><br>おくぶかい
大臣	(n) cabinet minister/(P)<br><br>だいじん
信じる	to believe in; to confide in; to have faith in<br><br>しんじる
信仰	(religious) faith/belief/creed<br><br>しんこう
遭難信号	(n) distress signal/SOS<br><br>そうなんしんごう
針金	wire<br><br>はりがね
伸びる　延びる	to stretch; to extend; to make progress<br><br>のびる
追伸	postscript<br><br>ついしん
朝寝坊	oversleeping/late riser<br><br>あさねぼう
武者震い	(n,vs) trembling with excitement<br><br>むしゃぶるい
潮吹き	spouting (e.g. of a whale, geyser, etc.)<br><br>しおふき
優れる	to excel<br><br>すぐれる
女優	actress<br><br>じょゆう
優柔	(adj-na,n) indecisiveness<br><br>ゆうじゅう
速い	fast/quick/brisk<br><br>はやい
猫背	bent back/hunchback/stoop<br><br>ねこぜ
背く	to run counter to; to go against; to disobey; to infringe<br>("stand up" against)<br><br>そむく
晴耕雨読	(n,vs) working in the field in fine weather and reading at home in rainy weather/living in quiet retirement dividing time between work and intellectual pursuits<br><br>せいこううどく
関税	customs (vama)<br><br>かんぜい
仮説	fictional, suppositional<br><br>かせつ
説く	to explain/to advocate/to preach/to persuade<br>漢字一字<br><br>とく
欠席	absence/non-attendance<br><br>けっせき
見積もる	to estimate ("to gather")<br><br>みつもる
引責辞任	(n,vs) taking responsibility upon oneself (and resigning)<br><br>いんせきじにん
実績	achievements; actual results<br><br>じっせき
一隻	one boat; one ship; (counter for ships); one of a pair<br><br>いっせき
国籍	nationality<br><br>こくせき
豪雪	(n) tremendous snowfall<br><br>ごうせつ
初雪	(n) first snow (of season)/(P)<br><br>はつゆき
設ける	to create; to establish<br><br>もうける
接ぐ	to join; to piece together; to set (bones); to graft (trees)<br><br>つぐ
専門	(n) speciality/specialty/subject of study/expert/(P)<br><br>せんもん
祖先	ancestor<br><br>そせん
同窓生	schoolmate<br><br>どうそうせい
階層	class; level; stratum; layer; hierarchy<br><br>かいそう
双子	twins; twin<br><br>ふたご、そうし
双眼鏡	binoculars<br><br>そうがんきょう
掃く	to sweep/to brush/to gather up<br><br>はく
掃除機	(n) vacuum cleaner/(P)<br><br>そうじき
乾燥	(n,vs) dry/arid/insipid/dehydrated/(P)<br><br>かんそう
人造湖	(n) artificial lake<br><br>じんぞうこ
倍増	double<br><br>ばいぞう
心臓の鼓動	heartbeat<br><br>しんぞうのこどう
生憎	unfortunately; Sorry, but ...<br><br>あいにく
愛憎	love and hate; likes and dislikes<br><br>あいぞう
約束	arrangement; promise; appointment; pact; engagement; convention<br><br>やくそく
花束	bunch of flowers; bouquet<br><br>はなたば
推測	guess; conjecture<br><br>すいそく
底無し	bottomless/endlessly deep/infinite<br><br>そこなし
摩損	wear and tear<br><br>まそん
損なう	to harm; to hurt; to injure; to damage; to fail in doing<br><br>そこなう
卒業	graduation<br><br>そつぎょう
反る、返る	to return; to come back; to go back; to turn over; (after the -masu stem of a verb) (to become) extremely; (to become) completely<br><br>かえる
村	village<br><br>むら
漁村	fishing village<br><br>ぎょそん
子孫	descendants; posterity; offspring<br><br>しそん
孫娘	granddaughter<br><br>まごむすめ
尊い	precious; valuable; priceless; noble; exalted; sacred<br><br>たっとい
太鼓	drum<br><br>たいこ
袋	bag<br><br>ふくろ
第一印象	(n) first impression<br><br>だいいちいんしょう
平仮名	hiragana<br><br>ひらがな
宝島	treasure island<br><br>たからじま
国宝	national treasure<br><br>こくほう
宅配便	(n) express home delivery company<br><br>たくはいびん
竹馬	(walk on) stilts; bamboo horse<br><br>たけうま
使徒達	the Apostles<br><br>しとたち
頼む	to request; to beg; to ask; to call; to order; to reserve; to entrust to; to rely on<br><br>たのむ
卵	egg<br><br>たまご
産卵	egg-laying; spawning<br><br>さんらん
便る　頼る	to rely on; to have recourse to; to depend on<br><br>たよる
冗談	jest; joke<br><br>じょうだん
怪物	monster (thing)<br><br>かいぶつ
哺乳	lactation/suckling/mammal<br><br>ほにゅう
恥ずかしい	embarrassed<br><br>はずかしい
赤恥	shame; disgrace<br><br>あかはじ
家畜	domestic animals; livestock; cattle<br><br>かちく
電柱	(n) telephone pole/telegraph pole/lightpole/(P)<br><br>でんちゅう
氷柱	icicle<br><br>ひょうちゅう
駐屯所	(n) military station/post<br><br>ちゅうとんじょ
貯金	(bank) savings<br><br>ちょきん
珍しい	unusual; rare<br><br>めずらしい
珍奇	strange; rare<br>熟語<br><br>ちんき
消費者	consumer<br><br>しょうひしゃ
逮捕状	arrest warrant<br><br>たいほじょう
肉体	(n) the body/the flesh/(P)<br><br>にくたい
疲労	fatigue; weariness<br><br>ひろう
受付	reception (desk); information desk; receipt; acceptance<br><br>うけつけ
寄付	contribution; donation<br><br>きふ
煙突	chimney; (slang) carrying a passenger without turning on the taximeter<br><br>えんとつ
縫う	to sew; to stitch; to weave one's way (e.g. through a crowd)<br><br>ぬう
力める　努める　勉める	to endeavor; to strive; to make an effort; to exert oneself; to be diligent<br><br>つとめる
務める　勤める	to work (for); to be employed (at); to serve (in); to serve (as); to act (as); to fill (the position of); to play the role (of); to conduct a religious service<br><br>つとめる
募集	recruiting; taking applications<br><br>ぼしゅう
米粒	grain of rice<br><br>こめつぶ
連なる	to stand in a row; to extend; to stretch out<br><br>つらなる
庭	garden<br><br>にわ
最低	(adj-na,adv,n) (1) least/lowest/worst/(2) nasty/disgusting/horrible/yuck!/(P)<br><br>さいてい
低い	(adj-i) low (height, tone, rank, degree, cost, etc.)/short/(P)<br><br>ひくい
泥棒	thief; robber<br><br>どろぼう
快適	pleasant; agreeable<br><br>かいてき
鉄棒	(n) iron rod/crowbar/horizontal bar (gymnastics)<br><br>かなぼう
宮殿	palace<br>二字<br><br>きゅうでん
殿	(suf) (pol) form of address used for official letters and business letters, and in letters to inferiors/Mr/(P)<br><br>どの
綱渡り	(n,vs) tightrope walking/(P)<br><br>つなわたり
塗る	(v5r,vt) to paint/to plaster/to lacquer/to varnish/to spread/to smear/(P)<br><br>ぬる
投票	voting; poll<br><br>とうひょう
投げる	(v1,vt) (1) to throw/to cast away/(2) to face defeat/to give up/(P)<br><br>なげる
一等賞	first place prize<br><br>いっとうしょう
等しい	equal/similar/like/equivalent<br>い形容詞<br><br>ひとしい
湯桶読み	(n) mixed kun-on reading (cf. juubakoyomi)<br><br>ゆとうよみ
反対党	(n) opposition party<br><br>はんたいとう
到着	(n,vs) arrival/(P)<br><br>とうちゃく
逃亡	escape/flight/running away/elopement/fleeing<br>とうぼう<br><br>
盗賊	thief; robber<br>とうぞく<br><br>
盗む	(v5m,vt) to steal/(P)<br><br>ぬすむ
封筒	(n) envelope/(P)<br><br>ふうとう
円筒	(n) cylinder/(P)<br><br>えんとう
塔	tower; pagoda<br><br>とう
童話	fairy-tale ("children's tale")<br><br>どうわ
童	(n) (arch) child<br><br>わっぱ
蜂	bee; wasp<br><br>はち
銅メダル	(n) bronze medal<br><br>どうメダル
盲導犬	(n) guide dog for the blind/seeing eye dog/(P)<br><br>もうどうけん
溶岩	lava<br><br>ようがん
働く	to work, to labor<br><br>はたらく
中毒	(n,vs) (1) poisoning/(n-suf) (2) addiction/(P)<br><br>ちゅうどく
空飛ぶ円盤	(n) flying saucer<br><br>そらとぶえんばん
外泊	(n,vs) spending night away from home/sleepover/sleep over<br><br>がいはく
泊まる	to stay at (e.g. hotel); to be docked/to be berthed/to be moored<br><br>とまる
豊富	(adj-na,n) abundance/wealth/plenty/bounty/(P)<br><br>ほうふ
鈍器	(n) blunt weapon/(P)<br><br>どんき
鈍い	dull (e.g. a knife); thickheaded; obtuse; slow; stupid<br><br>にぶい、 のろい
悲鳴	(n,vs) shriek/scream/(P)<br><br>ひめい
音波	(n) sound wave<br><br>おんぱ
嬉し涙	(n) happy tears/tears of joy<br><br>うれしなみだ
血も涙もない	(exp) cold-blooded/unfeeling/heartless/heart of stone/inconsiderate<br><br>ちもなみだもない
悩む	(v5m) to be worried/to be troubled/(P)<br><br>なやむ
軟らかい　柔らかい	soft; tender; limp<br><br>やわらかい
軟式テニス	(n) tennis played with a soft ball<br><br>なんしきテニス
辞任	resignation<br><br>じにん
任天堂	(n) Nintendo (video game company)/(P)<br><br>にんてんどう
未確認飛行物体	(n) unidentified flying object/UFO<br><br>みかくにんひこうぶったい
息抜き	(n,vs) taking a breather/relaxation/vent hole<br><br>いきぬき
打つ	to hit (something inanimate); to strike; to beat (on something); to type; to tap (e.g. a key); to inject; to indulge in gambling; to visit (on a pilgrimage)<br>うつ<br><br>to hit (a person); to strike; to beat<br>ぶつ<br><br>
座布団	(n) cushion (Japanese)/square cushion used when sitting on one's knees in a tatami-mat floor/(P)<br><br>ざぶとん
野良猫	(n) stray cat/alley cat<br><br>のらねこ
愛猫家	(n) cat lover<br><br>あいびょうか
不眠	(n) sleeplessness/insomnia/wakefulness/(P)<br><br>ふみん
練る	(v5r,vt) (1) to knead/to work over/(2) to polish up (e.g. a plan)/(3) to drill/to train/(P)<br><br>ねる
望郷	(n) homesickness/nostalgia<br><br>ぼうきょう
可燃	(n) inflammable<br><br>かねん
農家	(n) farmer/farm family/(P)<br><br>のうか
人工知能	(n) (comp) AI/artificial intelligence<br><br>じんこうちのう
望む	to desire; to wish for; to see; to command (a view of)<br>の…<br><br>のぞむ
失望	(n,vs) disappointment/despair/(P)<br><br>しつぼう
葉書	postcard/memo<br><br>はがき
読破	finish reading a book<br><br>どくは
敗れる	to be defeated; to be unsuccessful<br><br>やぶれる
雨量	rainfall (of some "amount")<br><br>うりょう
記憶容量	(n) (comp) storage capacity/memory capacity<br><br>きおくようりょう
小麦	(n) wheat/(P)<br><br>こむぎ
蕎麦	buckwheat (Fagopyrum esculentum); soba (Japanese buckwheat noodles<br><br>そばむぎ、 そまむぎ
原爆	atomic bomb<br><br>げんばく
爆弾	(n) bomb/(P)<br><br>ばくだん
野菜畑	(n) vegetable garden/kitchen garden<br><br>やさいばたけ
鳥肌	(n) gooseflesh/goose pimples/goose bumps<br><br>とりはだ
肌寒い	chilly/unpleasantly cold (cold to the skin)<br><br>はださむい
憲法	(n) constitution/(P)<br><br>けんぽう
忍者	(n) ninja (persons in feudal Japan who used ninjutsu for the purposes of espionage, assassination, sabotage, etc.)/(P)<br><br>にんじゃ
無法者	(n) outlaw<br><br>むほうもの
解放	release; unleashing; liberation; emancipation; setting free; deallocation (of computer memory)<br><br>かいほう
放射性	(n) radioactive/(P)<br><br>ほうしゃせい
火炎放射器	(n) flame thrower<br><br>かえんほうしゃき
増幅器	(n) amplifier<br><br>ぞうふくき
幅跳び	(n) long jump/broad jump<br><br>はばとび
林檎	(n) (uk) apple/apple tree/malus pumila/(P)<br><br>りんご
林	woods; forest<br>一字<br><br>はやし
空腹	(adj-na,n) hunger/(P)<br><br>くうふく
腹	(n) (1) abdomen/belly/stomach/(2) one's mind/one's real intentions/one's true motive/(3) loop (physics)/(suf,ctr) (4) counter for hard roe/(P)<br><br>はら
酔っ払う	(v5u,vi) to get drunk/(P)<br><br>よっぱらう
裁判	(n,vs) trial/judgement/judgment/(P)<br><br>さいばん
評判	fame; reputation; popularity; rumour; talk<br><br>ひょうばん
吹き替え	(n) dubbing/stand-in/dummy<br><br>ふきかえ
版	(n) edition/version/(P)<br><br>はん
全般的	universal/general<br>漢字三字<br><br>ぜんぱんてき
交番	(n,vs) (1) police box/(n,adj-f) (2) alternation/alternating (e.g. current)/(P)<br><br>こうばん
是非	(adv,n) (1) (uk) certainly/without fail/(2) right and wrong/pros and cons/(P)<br><br>ぜひ
金属	(n) metal/(P)<br><br>きんぞく
万年筆	(n) fountain pen/(P)<br><br>まんねんひつ
悪筆	(n) poor handwriting<br><br>あくひつ
伏兵	ambush; troops in ambush<br><br>ふくへい
兵営	(n) barracks<br><br>へいえい
秒読み	(n) countdown/(P)<br><br>びょうよみ
貧しい	(adj-i) poor/needy/(P)<br><br>まずしい
花瓶	(n) (flower) vase/(P)<br><br>かびん
政府	government; administration<br><br>せいふ
看護婦	(n) (female) nurse/(P)<br><br>かんごふ
引用符	(n) quotation marks/quote marks<br><br>いんようふ
切符	(n) ticket/(P)<br><br>きっぷ
完膚なきまで	(exp) completely/thoroughly/horribly/without exception/until there's no untouched (undamaged) part<br><br>かんぷなきまで
見舞う	to ask after (health)<br><br>みまう
開封	(n,vs) unsealed letter/breaking the seal/(P)<br><br>かいふう
福引き	(n) lottery/tombola/drawing<br><br>ふくびき
副詞	adverb<br><br>ふくし
副社長	(n) (abbr) executive vice-president/(P)<br><br>ふくしゃちょう
往復	coming and going; return ticket<br><br>おうふく
復讐	(n,vs) revenge/(P)<br><br>ふくしゅう
複製	(n,vs) reproduction/duplication/reprinting/(P)<br><br>ふくせい
国防	(n) national defence/national defense/(P)<br><br>こくぼう
予防	(n,vs) prevention/precaution/protection against/(P)<br><br>よぼう
沸く	to boil<br><br>わく
沸点	(n) boiling point<br><br>ふってん
湯沸かし	(n) teakettle<br><br>ゆわかし
仏教	(n) Buddhism/(P)<br><br>ぶっきょう
仏	(n) (1) Buddha/merciful person/Buddhist image/(2) the dead/(P)<br><br>ほとけ
警報	(n) alarm/warning/(P)<br><br>けいほう
報う	to reward; to recompense; to repay<br><br>むくう
豊か	abundant/wealthy/plentiful/rich/affluent<br>na adj<br><br>ゆたか
貿易会社	(n) trading company<br><br>ぼうえきがいしゃ
忘れっぽい	(adj-i) forgetful<br><br>わすれっぽい
用心棒	(n) bodyguard/(P)<br><br>ようじんぼう
指揮棒	(n) conductor's stick/conductor's baton<br><br>しきぼう
赤ん坊	baby ("red faced"?)<br><br>あかんぼう
隠れん坊	(n) hide and seek (the game)<br><br>かくれんぼう
脱帽	(n,vs) removing one's hat<br><br>だつぼう
麦藁帽子	(n) straw hat<br><br>むぎわらぼうし
物欲しげ	(adj-na) greedy<br><br>ものほしげ
三枚目	(n) (1) comedian/actor who plays comic roles/(2) figure of fun/laughing stock<br><br>さんまいめ
二枚目	(n) (1) handsome man/(2) actor in a love scene/(P)<br><br>にまいめ
一枚	いちまい<br />one thin flat object; one sheet<br /><br />ひとひら<br />petal; flake<br><br>
迷子	(n) lost (stray) child/(P)<br><br>まいご
迷惑	(adj-na,n) trouble/bother/annoyance/(P)<br><br>めいわく
迷宮	(n) mystery/maze/labyrinth/(P)<br><br>めいきゅう
満足	(adj-na,n,vs) (1) satisfaction/(2) (math) sufficiency/(P)<br><br>まんぞく
散乱	(n,vs) dispersion/scattering<br><br>さんらん
乱す	(v5s,vt) to throw out of order/to disarrange/to disturb/(P)<br><br>みだす
常緑樹	(n) evergreen tree<br><br>じょうりょくじゅ
正夢	(n) dream that comes true<br><br>まさゆめ
夢遊病	(n) sleepwalking/somnambulism<br><br>むゆうびょう
娘心	(n) girlish mind/girlish innocence<br><br>むすめごころ
木綿	cotton (material)<br><br>もめん
綿密	minute; detailed; careful; scrupulous; thorough<br><br>めんみつ
巻き戻し	(n) rewinding (e.g. VCR, tape deck, etc.)<br><br>まきもどし
契約	(n,vs) contract/compact/agreement/(P)<br><br>けいやく
婚約	(n,vs) engagement/betrothal/(P)<br><br>こんやく
理由	(n) reason/pretext/motive/(P)<br><br>りゆう
禁輸	(n) embargo/(P)<br><br>きんゆ
密輸	(n,vs) smuggling/contraband trade/(P)<br><br>みつゆ
郵税	postage (cost of mailing)<br><br>ゆうぜい
郵便局	(n) post office/(P)<br><br>ゆうびんきょく
予言者	(n) prophet/predictor/prognosticator<br><br>よげんしゃ
予算	(n,vs) estimate/budget/(P)<br><br>よさん
心地良い	comfortable/pleasant (~heart place)<br><br>ここちよい
仲良く	(adv,n,vs) making friends with/getting along well with/on cordial terms/(P)<br><br>なかよく
陽光	(n) sunshine/sunlight/(P)<br><br>ようこう
儀容	(n) bearing/manners<br><br>ぎよう
容疑者	(n) suspect (person)/(P)<br><br>ようぎしゃ
翌日	(n-adv,n-t) next day/(P)<br><br>よくじつ
儀礼	(n) etiquette/courtesy/(P)<br><br>ぎれい
上陸	(n,vs) landing/disembarkation/(P)<br><br>じょうりく
大陸	(n) continent/(P)<br><br>たいりく
法律	(n) law/(P)<br><br>ほうりつ
省略	(n,vs) omission/abbreviation/abridgment/abridgement/(P)<br><br>しょうりゃく
侵略	(n,vs) aggression/invasion/raid/(P)<br><br>しんりゃく
領事館	(n) consulate/(P)<br><br>りょうじかん
治療	medical treatment/cure<br>ち...<br><br>ちりょう
指輪	(n) (finger) ring/(P)<br><br>ゆびわ
書類	(n) documents/official papers/(P)<br><br>しょるい
年令　年齢	(n) age/years<br><br>ねんれい
学齢	(n) school age/(P)<br><br>がくれい
零下	(n) below zero/sub-zero/(P)<br><br>れいか
歴史	(n) history/(P)<br><br>れきし
勤労者	(n) worker/(P)<br><br>きんろうしゃ
回顧録	memoirs; reminiscences<br><br>かいころく
黙示録	(n) Revelation (book of the Bible)/the Apocalypse<br><br>もくしろく
議論	(n,vs) argument/discussion/dispute/controversy/(P)<br><br>ぎろん
結論	(n,vs) conclusion/(P)<br><br>けつろん
理論	(n) theory/(P)<br><br>りろん
台湾	(n) Taiwan/(P)<br><br>たいわん
湾岸	(n) gulf coast/bay coast/(P)<br><br>わんがん
伝統	tradition; convention (~uniform)<br><br>でんとう
楽団	(n) orchestra/band/(P)<br><br>がくだん
反対	opposite; antagonism<br><br>はんたい
呉越同舟	(n) bitter enemies (placed by fate) in the same boat/(P)<br><br>ごえつどうしゅう
